Country,Disaster,long,lat
Afghanistan,201,67.709953,33.93911
Albania,43,20.168331,41.153332
Algeria,87,1.659626,28.033886
American Samoa,6,-170.132217,-14.270972
Angola,72,17.873887,-11.202692
Anguilla,14,-63.068615,18.220554
Antigua and Barbuda,13,-61.796428,17.060816
Argentina,122,-63.616672,-38.416097
Armenia,12,45.038189,40.069099
Australia,243,133.775136,-25.274398
Austria,52,14.550072,47.516231
Azerbaijan,16,47.576927,40.143105
Azores Islands,6,-30.384108,38.305542
Bahamas,28,-77.39628,25.03428
Bahrain,1,50.637772,25.930414
Bangladesh,354,90.356331,23.684994
Barbados,12,-59.543198,13.193887
Belarus,14,27.953389,53.709807
Belgium,71,4.469936,50.503887
Belize,22,-88.49765,17.189877
Benin,52,2.315834,9.30769
Bermuda,6,-64.75737,32.321384
Bhutan,10,90.433601,27.514162
Bolivia,99,-63.588653,-16.290154
Bosnia and Herz.,26,17.679076,43.915886
Botswana,23,24.684866,-22.328474
Brazil,244,-51.92528,-14.235004
Brunei Darussalam,1,25.48583,42.733883
Bulgaria,48,-1.561593,12.238333
Burkina Faso,65,29.918886,-3.373056
Burundi,61,-22.807835,16.095011
Cabo Verde,20,104.990963,12.565679
Cambodia,42,12.354722,7.369722
Cameroon,54,-106.346771,56.130366
Canada,141, -16.629129,28.291565
Canary Is,7,-80.566956,19.513469
Cayman Islands,7,20.939444,6.611111
Central African Rep.,43,18.732207,15.454166
Chad,63,-71.542969,-35.675147
Chile,117,104.195397,35.86166
China,970,-74.297333,4.570868
Colombia,200,43.872219,-11.875001
Comoros ,25,21.758664,-4.038333
Dem. Rep. Congo,172,15.827659,-0.228021
Cook Islands,14,-159.777671,-21.236736
Costa Rica,74,-83.753428,9.748917
Côte d'Ivoire,30,-5.54708,7.539989
Croatia,30,15.2,45.1
Cuba,84,-77.781167,21.521757
Cyprus,14,33.429859,35.126413
Czechia,27,15.472962,49.817492
Czechoslovakia,9,15.472962,49.817492
Denmark,16,9.501785,56.26392
Djibouti,26,42.590275,11.825138
Dominica,15,-61.370976,15.414999
Dominican Republic,83,-70.162651,18.735693
Ecuador,104,-78.183406,-1.831239
Egypt,36,30.802498,26.820553
El Salvador,71,-88.89653,13.794185
Equatorial Guinea,1,10.267895,1.650801
Eritrea,8,39.782334,15.179384
Estonia,4,25.013607,58.595272
Ethiopia,120,40.489673,9.145
Fiji,62,179.414413,-16.578193
Finland,3,2.213749,46.227638
France,180,-53.125782,3.933889
French Guiana,3,-149.406843,-17.679742
French Polynesia,8,11.609444,-0.803689
Gabon,13,-15.310139,13.443182
Gambia,32,43.356892,42.315407
Georgia,25,10.451526,51.165691
Germany,80,10.451526,51.165691
Germany Dem Rep,3,-1.023194,7.946527
Germany Fed Rep,20,21.824312,39.074208
Ghana,53,-61.604171,12.262776
Greece,102,-62.067641,16.995971
Grenada,7,144.793731,13.444304
Guadeloupe,17,-90.230759,15.783471
Guam,10,-9.696645,9.945587
Guatemala,118,-15.180413,11.803749
Guinea,36,-58.93018,4.860416
Guinea-Bissau,25,-72.285215,18.971187
Guyana,11,-86.241905,15.199999
Haiti,128,114.109497,22.396428
Honduras,92,19.503304,47.162494
Hong Kong,137,-19.020835,64.963051
Hungary,34,78.96288,20.593684
Iceland,13,113.921327,-0.789275
India,740,53.688046,32.427908
Indonesia,560,43.679291,33.223191
Iran,247,-8.24389,53.41291
Iraq,26,34.851612,31.046051
Ireland,24,12.56738,41.87194
Israel,20,-77.297508,18.109581
Italy,171,138.252924,36.204824
Jamaica,56,36.238414,30.585164
Japan,371,66.923684,48.019573
Jordan,18,37.906193,-0.023559
Kazakhstan,25,-168.734039,-3.370417
Kenya,118,127.510093,40.339852
Kiribati,6,127.766922,35.907757
South Korea,46,47.481766,29.31166
North Korea,124,74.766098,41.20438
Kuwait,3,102.495496,19.85627
Kyrgyzstan,30,24.603189,56.879635
Laos,53,35.862285,33.854721
Latvia,9,28.233608,-29.609988
Lebanon,14,-9.429499,6.428055
Lesotho,24,17.228331,26.3351
Liberia,24,23.881275,55.169438
Libya,5,6.129583,49.815273
Lithuania,14,113.543873,22.198745
Luxembourg,12,21.745275,41.608635
Macao,7,46.869107,-18.766947
Macedonia,23,34.301525,-13.254308
Madagascar,89,101.975766,4.210484
Malawi,72,73.22068,3.202778
Malaysia,92,-3.996166,17.570692
Maldives,7,171.184478,7.131474
Mali,62,-61.024174,14.641528
Marshall Islands,7,-10.940835,21.00789
Martinique,18,57.552152,-20.348404
Mauritania,47,-102.552784,23.634501
Mauritius,23,150.550812,7.425554
Mexico,284,28.369885,47.411631
Micronesia,11,103.846656,46.862496
Moldova,16,19.37439,42.708678
Mongolia,37,-62.187366,16.742498
Montenegro,6,-7.09262,31.791702
Montserrat,8,35.529562,-18.665695
Morocco,61,95.956223,21.913965
Mozambique,116,18.49041,-22.95764
Myanmar,83,84.124008,28.394857
Namibia,31,5.291266,52.132633
Nepal,129,-69.060087,12.226079
Netherlands,39,165.618042,-20.904305
Netherlands Antilles,4,174.885971,-40.900557
New Caledonia,17,-85.207229,12.865416
New Zealand,75,8.081666,17.607789
Nicaragua,85,8.675277,9.081999
Niger,99,-169.867233,-19.054445
Nigeria,134,145.38469,17.33083
Niue,6,8.468946,60.472024
Northern Mariana Islands,5,55.923255,21.512583
Norway,13,69.345116,30.375321
Oman,15,34.851612,31.046051
Pakistan,229,-80.782127,8.537981
Palau,3,143.95555,-6.314993
"Palestine, State of",9,-58.443832,-23.442503
Panama,60,-75.015152,-9.189967
Papua New Guinea,88,121.774017,12.879721
Paraguay,59,19.145136,51.919438
Peru,194,-8.224454,39.399872
Philippines,659,-66.590149,18.220833
Poland,57,55.536384,-21.115141
Portugal,50,24.96676,45.943161
Puerto Rico,37,105.318756,61.52401
Qatar,1,29.873888,-1.940278
Réunion,14,-62.833333,17.9
Romania,100,-62.782998,17.357822
Russia,168,-60.978893,13.909444
Rwanda,50,-63.060001,18.075277
Saint Barthélemy,1,-61.287228,12.984305
"Saint Helena, Ascension and Tristan da Cunha",1,-172.104629,-13.759029
Saint Kitts and Nevis,10,6.602781,0.255436
Saint Lucia,20,45.079162,23.885942
Saint Martin (French Part),1,-14.452362,14.497401
Saint Vincent and the Grenadines,22,21.005859,44.016521
Samoa,16,21.005859,44.016521
Sao Tome and Principe,4,55.491977,-4.679574
Saudi Arabia,29,-11.779889,8.460555
Senegal,53,103.819836,1.352083
Serbia,26,-63.060001,18.075277
Serbia Montenegro,16,19.699024,48.669026
Seychelles,7,14.995463,46.151241
Sierra Leone,32,160.156194,-9.64571
Singapore,4,46.199616,5.152149
Sint Maarten,1,22.937506,-30.559482
Slovakia,22,30.217636,12.862807
Slovenia,10,105.318756,61.52401
Solomon Islands,39,-3.74922,40.463667
Somalia,99,80.771797,7.873054
South Africa,109,30.217636,12.862807
S. Sudan,23,-56.027783,3.919305
Soviet Union,60,31.465866,-26.522503
Spain,101,18.643501,60.128161
Sri Lanka,115,8.227512,46.818188
Sudan,101,38.996815,34.802075
Suriname,3,120.960515,23.69781
Swaziland,17,71.276093,38.861034
Sweden,15,34.888822,-6.369028
Switzerland,59,100.992541,15.870032
Syria,15,125.727539,-8.874217
Taiwan,130,0.824782,8.619543
Tajikistan,73,-175.198242,-21.178986
Tanzania,112,-61.222503,10.691803
Thailand,153,9.537499,33.886917
Timor-Leste,12,35.243322,38.963745
Togo,29,59.556278,38.969719
Tokelau,6,-71.797928,21.694025
Tonga,24,177.64933,-7.109535
Trinidad and Tobago,14,32.290275,1.373333
Tunisia,24,31.16558,48.379433
Turkey,203,-3.435973,55.378051
Turkmenistan,2,-95.712891,37.09024
Turks and Caicos Islands,7,-55.765835,-32.522779
Tuvalu,8,64.585262,41.377491
Uganda,101,166.959158,-15.376706
Ukraine,38,-66.58973,6.42375
United Arab Emirates,1,108.277199,14.058324
United Kingdom,98,-64.618103,18.436539
United States of America,1059,-64.618103,18.436539
Uruguay,34,-177.156097,-13.768752
Uzbekistan,8,48.516388,15.552727
Vanuatu,49,48.516388,15.552727
Venezuela,58,48.516388,15.552727
Viet Nam,243,21.005859,44.016521
Virgin Island,4,27.849332,-13.133897
Virgin Island,8,29.154857,-19.015438
Wallis and Futuna,5,,
Yemen,53,,
Yemen Arab Rep,9,,
Yemen P Dem Rep,7,,
Yugoslavia,22,,
Zambia,49,,
Zimbabwe,51,,